t,mid,inventory,cash,pnl
0.0,100.015,0.0,0.0,0.0
1.0,99.995,0.6311201217199891,-63.09938976956451,0.009466801825801952
2.0,99.995,0.6311201217199891,-63.09938976956451,0.009466801825801952
3.0,99.995,0.6311201217199891,-63.09938976956451,0.009466801825801952
4.0,99.995,0.6311201217199891,-63.09938976956451,0.009466801825801952
5.0,99.995,0.6311201217199891,-63.09938976956451,0.009466801825801952
6.0,99.99000000000001,0.6311201217199891,-63.09938976956451,0.006311201217208406
7.0,99.995,0.6311201217199891,-63.09938976956451,0.009466801825801952
8.0,99.995,0.6311201217199891,-63.09938976956451,0.009466801825801952
9.0,99.995,0.6311201217199891,-63.09938976956451,0.009466801825801952
10.0,99.995,0.6311201217199891,-63.09938976956451,0.009466801825801952
11.0,99.995,0.6311201217199891,-63.09938976956451,0.009466801825801952
12.0,99.99000000000001,0.6311201217199891,-63.09938976956451,0.006311201217208406
13.0,99.99000000000001,0.6311201217199891,-63.09938976956451,0.006311201217208406
14.0,99.99000000000001,-0.17335116967014153,17.347739369448547,0.014355914131094494
15.0,99.99000000000001,-0.17335116967014153,17.347739369448547,0.014355914131094494
16.0,100.005,-0.17335116967014153,17.347739369448547,0.011755646586045998
17.0,100.025,-0.4712513747566658,47.1526548883553,0.015736128319801423
18.0,100.025,-0.4712513747566658,47.1526548883553,0.015736128319801423
19.0,100.06,-0.634583770681793,63.56426115690876,0.067809062488557
20.0,100.035,0.36541622931820705,-36.45573884309123,0.09867365675560791
21.0,100.035,0.36541622931820705,-36.45573884309123,0.09867365675560791
22.0,100.035,0.36541622931820705,-36.45573884309123,0.09867365675560791
23.0,100.035,0.36541622931820705,-36.45573884309123,0.09867365675560791
24.0,100.03999999999999,0.36541622931820705,-36.45573884309123,0.10050073790219471
25.0,100.05,-0.4030367567968062,40.443351477438135,0.11952395991767872
26.0,100.04499999999999,-0.4030367567968062,40.443351477438135,0.12153914370166774
27.0,100.055,-0.4030367567968062,40.443351477438135,0.11750877613368971
28.0,100.03999999999999,-0.013255289119556646,1.453511265682863,0.1274521421624164
29.0,100.015,0.6983508557755571,-69.70710322382851,0.1384576165638265
30.0,100.03999999999999,-0.3016491442244429,30.332896776171495,0.15591638795823215
31.0,100.025,0.6983508557755571,-69.67710322382851,0.17544112512159415
32.0,100.015,0.6983508557755571,-69.67710322382851,0.16845761656382763
33.0,100.015,0.6983508557755571,-69.67710322382851,0.16845761656382763
34.0,100.035,-0.18992059818349005,19.18557303023458,0.18686599094915124
35.0,100.025,0.3779570008716725,-37.56761708320609,0.2375319289829534
36.0,100.03,0.11347210366923044,-11.06755214257143,0.2830623874616922
37.0,100.035,1.1134721036692303,-111.05755214257142,0.3286297479800311
38.0,100.065,0.11347210366923033,-11.007552142571427,0.3470339110901062
39.0,100.065,0.11347210366923033,-11.007552142571427,0.3470339110901062
40.0,100.025,0.4058324003234445,-40.249429013925926,0.343956828426613
41.0,100.03999999999999,0.4058324003234445,-40.249429013925926,0.35004431443145734
42.0,100.03999999999999,0.4058324003234445,-40.249429013925926,0.35004431443145734
43.0,100.005,0.4058324003234445,-40.249429013925926,0.33584018042013497
44.0,100.03999999999999,-0.033276383525096986,3.674622634443679,0.3456532265929768
45.0,99.995,-0.033276383525096986,3.674622634443679,0.34715066385160576
46.0,99.995,-0.033276383525096986,3.674622634443679,0.34715066385160576
47.0,99.99000000000001,-0.033276383525096986,3.674622634443679,0.3473170457692314
